,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,
720,My Universe,My Universe,Coldplay,2021-09-24,GBAYE2100952,688,58.2,1269607301,124247,79296537,71,518912320,17373598,865359,292601736,1700398150,3568335434,,101,545,,,,,,,,0,
721,She Had Me At Heads Carolina,Stereotype,Cole Swindell,2022-08-04,USWB12200181,1007,47.9,244709550,33533,14159174,69,92809269,501049,53799,11305059,140118719,466327206,31,418626,159,4,96022,28,154772045,37582,,911477,0,
722,Maniac,Maniac,Conan Gray,2019-10-25,USUM71920712,3653,22.4,845222205,109624,33327204,71,108306968,2342473,196948,49175319,316355255,21240769,58,30836,125,17,25809,8,22570411,35458,,1531126,0,
723,Heather,Kid Krow,Conan Gray,2020-03-20,USUM71924264,1276,41.8,1675083208,191604,123682546,80,138807824,3143644,564728,142804065,755895289,22941276,105,36474,10,42,628449,29,25061083,81558,,2614466,0,
724,Memories,Memories,Conan Gray,2022-04-15,USUM72204111,2494,28.5,445742307,68570,23007042,72,65247352,1302190,118871,53270295,299317588,2205915138,9,2878,3,9,12015,18,1484701,5098,2312729,2074587,0,
726,Banana (feat. Shaggy),Banana (feat. Shaggy),Conkarah,2019-08-16,QMRSZ1901446,341,82.7,27747363,9067,1365840,41,136028794,1352520,23206073,803136063,11797196743,11609501,12,7746,100,8,90628,10,,,,348103,0,
727,Spinnin,Spinnin,Connor Price,2022-10-21,QZTAS2238500,3741,22.1,164206429,49659,12999272,63,12484960,163647,25200,18960431,182197234,,1,136,,,,,3424202,2471,2238898,776674,0,
729,Gangsta's Paradise,Gangsta's Paradise (25th Anniversary - Remastered),Coolio,2020-09-25,USTB12000152,1945,32.7,1675750095,506,66189,25,,,,,,,97,,,1,1689,9,539169583,334159,,,0,
731,Wild as Her,Wild as Her,Corey Kent,2022-04-03,TCAGA2290354,2614,27.6,180186017,32769,6038439,66,36595510,280859,33689,1974569,23448462,2792,23,187197,111,4,976,11,113592411,13103,,670748,0,
732,This Side of Paradise,Color,Coyote Theory,2020-11-12,QMW9F1100003,1789,34.4,515923885,121767,25106201,72,166794513,2438100,520891,383884667,2574138698,6350,7,18,,2,16264,,2672470,8628,9678283,2561309,0,
734,Axel F,Best of Crazy Hits,Crazy Frog,2009-11-12,DEAF71578230,1134,44.7,178536020,870,142649,30,5049428366,20305999,,,,204191511,1,,,,,,,,,2967336,0,
735,Push Up - Original Mix,Push Up - Single,Creeds,2022-12-21,NLCK42223782,1409,39.4,83801298,78156,5245976,58,6012738,158095,28000,10568923,162010933,,18,6228,,4,9555,,45687,491,7986693,2821192,0,
738,Marisola - Remix,Marisola (Remix),Cris Mj,2022-12-15,CLA1D2200030,3621,22.6,325264193,47780,22081093,70,,,28194,7137722,83764776,,9,18164,20,18,549718,24,590914,374,,,1,
742,Stunnin' (feat. Harm Franklin),Stunnin' (feat. Harm Franklin),Curtis Waters,2020-05-19,QZES82074435,3320,23.8,312678365,67390,12125007,56,68518582,1252622,1540013,271840657,2130678972,60449,44,34306,,22,34948,12,14695763,7615,9056107,2434937,1,
744,123 Song,123 Song,D Billions,2019-10-23,FR96X1996525,1214,42.9,628692,98,14910,23,1754170433,3004414,458,12632,669921,,,,,,,,,,,9438,0,
745,Yummy Fruits and Vegetables,Yummy Fruits and Vegetables,D Billions,2020-10-20,AEA0D2036458,259,96.2,2300838,543,19016,35,3060919074,6319360,1690,50237,4527607,,,,,,,,,,,16965,0,
746,"Mommy, Mommy Give Me Yummy","Mommy, Mommy Give Me Yummy",D Billions,2021-04-20,AEA0Q2102685,2209,30.4,,49,4311,21,833736978,1346347,262,14670,1175444,,,,,,,,,,,7925,0,
749,Here With Me,Here With Me,d4vd,2022-07-20,QZMEM2209263,234,101.4,1042311849,154178,58833842,80,256736243,2649848,2321933,467461517,3656967030,313752369,79,18211,111,48,636981,41,4556490,10111,15609794,3315939,0,
750,Romantic Homicide,Romantic Homicide,d4vd,2022-07-20,QZMEM2232831,308,86.8,1136504636,152157,60605828,81,154143867,2307573,515601,215294962,1306972284,89389771,65,8306,43,25,426502,15,8674577,16784,30568973,1892741,0,
751,Suge,Baby On Baby,DaBaby,2019-01-03,USUM71902966,2053,31.8,647501734,112493,19804967,62,447330965,3838459,514868,60994964,435082308,165058654,90,2734,384,28,76282,17,152054002,140571,,2919131,1,
752,Goin Baby,Baby On Baby,DaBaby,2019-01-03,USUM71902960,4248,20.5,225260644,51066,7548486,53,75234764,918947,35536,6376897,55987733,2015013,11,3,,7,27786,5,43493680,29264,51300270,357955,1,
753,BOP,KIRK,DaBaby,2019-09-27,USUM71918972,1021,47.5,820923123,158363,34079735,68,661665888,6303898,74988,16461096,129969428,156344017,68,140499,401,38,202117,7,123274962,145513,,2417871,1,
754,VIBEZ,KIRK,DaBaby,2019-09-27,USUM71919281,1470,38.2,432315500,95756,16692750,59,161619855,1879161,5017600,146241546,1119929038,6676480,38,44945,202,11,9718,,85830613,38488,,1172142,1,
755,TOES (feat. Lil Baby & Moneybagg Yo),KIRK,DaBaby,2019-09-27,USUM71919280,2499,28.4,349688559,77636,12565087,60,66011548,699236,538219,83527860,643169528,1989190,26,854,43,9,23636,7,118261786,72689,41833353,771928,1,
756,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,2020-04-17,USUM72007941,167,116.7,1638836101,272933,50425049,70,1170441361,13667470,5241838,364560431,3869815694,201859518,216,298661,62,98,1699879,47,245618280,272002,,7646337,1,
757,Ball If I Want To,Ball If I Want To,DaBaby,2021-06-18,USUM72109804,3418,23.5,216934691,65171,14450198,60,70627607,1101053,245749,133687791,1016363322,41724867,33,8865,94,15,117489,12,46773968,16072,8702695,603507,1,
759,Limbo,Prestige,Daddy Yankee,2012-01-01,USNPD1200128,3400,23.5,508914869,86239,25204530,70,1529347092,6057759,55811,8937199,73318392,341710178,48,12567,67,39,272601,36,200834379,158798,330708,5615561,0,
760,Shaky Shaky,Shaky Shaky,Daddy Yankee,2016-08-04,US2BU1600020,1872,33.6,355833360,32831,9930933,57,1841152614,6950519,673957,68853618,580818135,246854508,32,9113,64,22,84506,22,49501753,161901,,2606582,0,
761,La Rompe Corazones,La Rompe Corazones,Daddy Yankee,2017-01-13,US2BU1603070,2093,31.5,526264393,48041,19056854,66,1423626083,4711667,307866,4422112,34073736,252888925,38,7362,51,30,301234,15,197389672,41508,,1741563,0,
762,Dura,Dura,Daddy Yankee,2018-01-18,US2BU1700200,3165,24.5,659555409,71359,21283146,65,156299320,884906,2963016,39732422,493591477,1457649,66,20978,113,48,331916,47,150480566,106663,,4187626,0,
763,Adictiva,Adictiva,Daddy Yankee,2018-09-11,US2BU1801109,3817,21.9,428271245,50261,14055347,62,587689921,2696020,352314,5880730,67856339,175065357,34,8014,36,25,158052,12,81908473,7955,,1097094,0,
764,Con Calma,Con Calma,Daddy Yankee,2019-01-24,US2BU1900125,236,101.4,1353028938,160122,52701166,73,3207187334,16913257,1190870,26028684,319615777,709817334,184,93382,363,87,1544771,46,136354917,69412,,13340067,0,
765,Si Supieras,Si Supieras,Daddy Yankee,2019-06-28,US2BU1900761,3677,22.4,306404848,33666,10575144,63,605370523,2987290,410825,4557282,56631793,131730572,47,4874,8,14,108812,14,33439792,6173,,1301119,0,
766,Que Tire Pa Lante,Que Tire Pa Lante,Daddy Yankee,2019-10-18,US2BU1901810,1700,35.4,375589989,43389,18068383,59,1084403143,5320558,278732,18126994,223724566,161623195,55,24484,44,15,111885,9,,,,1950076,0,
767,De Vuelta Pa' La Vuelta,De Vuelta Pa' La Vuelta,Daddy Yankee,2020-10-12,US2BU2001211,3910,21.6,164788147,23301,15473906,62,426336235,1881474,20700,3047195,44074315,15887557,23,27670,21,5,14722,13,20338538,8701,,1159159,0,
769,Instant Crush (feat. Julian Casablancas),Random Access Memories,Daft Punk,2013-05-17,USQX91300105,4413,19.9,587054803,130991,15108911,70,830977726,4575683,48128,9438211,82939552,7491045,74,20738,1,78,819839,23,13761386,20411,,7241562,0,
771,Pa Mi,Pa Mi,Dalex,2018-09-20,QM9WM1800095,4563,19.5,50739695,7202,909473,34,858702700,4315847,,546773,4591851,12507864,4,207,11,3,18552,,9699636,3187,,342074,1,
772,Hola - Remix,Hola (Remix),Dalex,2019-01-11,QM9WM1900166,3900,21.6,708615717,87957,23915679,64,258358932,749483,42200,5666517,62179337,1,38,12541,16,18,128629,,32110135,8030,,1526884,0,
773,Bellaquita,Bellaquita,Dalex,2019-06-09,QM9WM1900144,3396,23.5,207093355,33813,5671029,55,683691095,3379761,333046,52979754,534205330,5645399,17,2393,12,2,2945,6,15446689,6361,,361062,1,
774,Hola,Climaxxx,Dalex,2019-10-05,QM9WM1900108,2483,28.6,28185177,6572,781594,42,1163245760,5110945,37518,2306029,20930088,126061690,,,,1,23571,,2003438,2077,,349429,0,
775,Cuaderno,Climaxxx,Dalex,2019-10-05,QM9WM1900130,3511,23,415170963,57071,15542644,63,618739499,3018799,106464,10874942,72178937,27037557,54,2681,,6,35291,4,8770761,3632,,882993,1,
777,Tequila,Tequila,Dan + Shay,2018-10-01,USWB11702518,4092,21,601987422,52580,11498486,65,54165764,456799,82872,4294884,43174144,3693637,3,204810,138,5,1242,60,324897256,142351,9599130,,0,
778,"10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)",Dan + Shay,2019-04-10,USWB11902440,3215,24.3,1060319450,93637,53500350,67,361854211,3836505,143760,9183035,64709989,801371563,,537,311,1,282,50,,,,,0,
779,"10,000 Hours","10,000 Hours (with Justin Bieber)",Dan + Shay,2019-04-10,USWB11902408,3364,23.7,1060667446,170,110712,15,,,1100000,42020635,381934707,,124,259442,,49,158029,6,214049080,134289,,3466968,0,
781,Passinho Debochado,Passinho Debochado,Dan Ventura,2021-07-30,QZMZ92162594,4384,20,68273832,9866,2234406,45,96088323,1033691,2308300,78196584,1220672571,39878647,11,364,,3,83546,2,,,,146957,0,
782,Get You (feat. Kali Uchis),Get You - Single,Daniel Caesar,2016-10-21,TCACR1690004,2056,31.8,1024198691,168424,41883756,76,251585070,1895986,30755,14835570,101238385,651349,172,15813,138,12,35304,36,113844720,71863,58680550,4056356,0,
783,Best Part (feat. H.E.R.),Freudian,Daniel Caesar,2017-08-25,CADDS1700022,1516,37.7,1362614026,183645,51977530,79,198079219,2252308,619185,116244737,854742783,35115195,198,30988,112,56,606036,91,184904047,122165,40539247,4584343,0,
786,Easy,The Plan,DaniLeigh,2018-11-30,USUM71816809,4403,19.9,41808541,7802,1222888,46,491827513,3638561,28899,4564091,39966761,26034042,4,5,,2,2532,5,172241744,37508,15875196,1458244,0,
787,Pieces,Pieces,Danilo Stankovic,2020-09-17,QZAKB2006575,3367,23.6,5467217,2314,485008,39,283023,6614,5119677,2672313847,28032695489,424623,3,18,,,,9,,,,167985,0,
788,Mala Fama,Mala Fama,Danna Paola,2019-03-28,MXUM71900480,3209,24.3,346737588,25823,6551065,62,859633229,5596983,131003,15861564,141133651,114882014,26,3395,18,8,18898,17,1854603,3604,,710052,0,
789,Dembow,Dembow,Danny Ocean,2017-08-12,USWL11700269,3441,23.3,579189526,60397,11805084,65,828853696,3086157,84450,21202350,158504854,199705679,34,5406,9,20,37649,12,6723858,7832,,1619550,0,
790,Dembow,Dembow,Danny Ocean,2017-08-12,USWL11700269,3441,23.3,579189526,60397,11805084,65,828853696,3086157,84450,21202350,158504854,199705679,34,5406,9,20,37649,12,6723858,7832,,1619550,0,
791,Fuera del mercado,@dannocean,Danny Ocean,2022-02-17,USWL12200098,1064,46.5,535013440,57772,25048190,71,162236183,1010851,2681307,387587032,4479627831,339251328,54,28857,327,32,910491,28,1646419,1389,,1371874,1,
792,Spongebob,Spongebob,Dante9k,2020-01-28,QZFYZ2047242,3356,23.7,902103,800,74253,,,,6100000,3607884570,33359398879,,,9,43,,,,14108,,,,0,
795,Wagon Wheel,True Believers,Darius Rucker,2013-01-01,USCN11200248,2477,28.6,727417273,107826,25463894,73,563826762,2402463,51203,14475594,101847028,596719707,59,128432,126,19,25550,24,575560582,786536,1206091,3566957,0,
796,Teri Aankhon Mein,Teri Aankhon Mein,Darshan Raval,2020-07-10,INS182006492,4468,19.7,68139013,6814,1406482,54,565499581,5203108,,,,227912043,1,484,,,,8,,,,107558,0,
800,Location (feat. Burna Boy),PSYCHODRAMA,Dave,2019-08-03,GBUM71900578,2490,28.5,540907681,169023,15332361,70,281620086,1394656,29890,7358053,65403430,7590308,113,7620,9,31,171627,27,221658,2407,7901879,1899818,1,
801,Clash (feat. Stormzy),Clash (feat. Stormzy),Dave,2021-08-07,GBUM72103840,2898,25.9,237619076,109634,9288222,61,83880421,827499,29127,12773383,121310762,13321285,68,6889,6,10,95781,21,248457,109,,995591,1,
802,Starlight,Starlight,Dave,2022-03-03,GBUM72201160,1668,35.7,300668168,114589,7654318,67,77123844,796822,214063,67997711,669672487,30979081,31,10866,67,13,78821,20,83973,329,,1079185,1,
807,Crazy What Love Can Do,Only Honest On The Weekend (Deluxe),David Guetta,2022-03-18,UKWLG2200001,1825,34,371288040,69527,53951706,69,42623147,297084,5644,1282246,19793657,2591798957,111,205826,348,56,947134,40,4516525,729,,2246791,0,
808,I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,UKWLG2200055,43,209.6,1658229422,262248,239957538,83,466080689,4324989,728093,54258768,1051836430,1425853925,285,935190,2487,207,6479623,168,139926990,31235,8007236,10973120,1,
814,Carrying Your Love,Carrying Your Love,David Morris,2022-01-06,QZEQU2246860,4399,19.9,33278200,10186,1379624,50,4962879,74982,1901626,318927368,2885085148,133358,3,395,534,,,,5082176,2540,,255786,0,
817,Jumpshot,Sunday,Dawin,2016-07-29,USUM71606698,3976,21.4,71345247,8334,1543930,45,92840225,813836,8797888,51952711,274234939,7,2,264,,1,2924,,1814245,,,926395,0,
818,Hide Away,Hide Away,Daya,2015-04-22,QM4ZV1500057,4327,20.2,493444344,48491,27331765,76,110108631,979538,669052,189101077,1951015670,11818751,63,8576,162,3,120251,11,315421399,132842,2353027,4367770,0,
819,Can I Call You Tonight?,Can I Call You Tonight?,Dayglow,2018-01-26,TCADL1825079,3930,21.5,596164214,158639,32332004,71,207640042,2700851,71731,26297718,155192084,12234172,30,4664,125,10,121871,5,15042745,10453,,2303064,0,
820,Overseas,Overseas,D-Block Europe,2021-11-18,GB2DY2100828,2086,31.6,216354398,90545,5425432,64,92356896,647095,27652,13161166,148927892,33939271,14,5281,10,4,9626,11,38951,275,12328599,1065136,1,
822,Moonwalking in Calabasas (feat. Blueface) - Remix,Moonwalking in Calabasas Remix,DDG,2020-08-20,CA5KR2079526,1657,35.9,337709342,124013,14195159,61,163572008,2101899,4621,1261834,14079058,4894019,22,9995,3,11,103545,10,10796822,9440,38087760,263734,1,
824,Be Alright,Be Alright,Dean Lewis,2018-06-29,AUUM71800255,1042,47,1749353402,182732,81424354,72,244698483,2156754,191718,48497239,379547638,2742,148,153400,53,47,238867,26,187475548,145064,38670021,12744176,1,
825,How Do I Say Goodbye,How Do I Say Goodbye,Dean Lewis,2022-05-08,AUUM72200172,639,59.9,459712644,86820,35269550,69,116599191,1422757,189900,92382361,749847975,553126618,57,206210,428,21,85862,22,59479060,16184,5160877,2330861,0,
826,Run Free,Run Free,Deep Chills,2017-08-18,NLYK91700007,2334,29.6,86943003,17950,3630498,55,10003352,110419,10476200,356589615,5311932536,,2,109,,5,5172,,55083,,9106321,1866241,0,
830,Heart Attack,Demi,Demi Lovato,2013-01-01,USHR11334249,3134,24.6,826593536,101501,31034827,74,898024937,7520556,294053,100368132,792708732,528895639,35,10217,80,36,81684,17,283340326,496904,,5072778,0,
831,Sorry Not Sorry,Sorry Not Sorry,Demi Lovato,2017-11-07,USUM71707196,1489,38,1156601592,78398,28404966,67,782935937,6789404,1711789,39636079,278587450,35991832,60,62717,306,68,301972,31,387403961,283108,,3291558,1,
833,Nevermind,Nevermind,Dennis Lloyd,2016-05-12,USHM91642610,2980,25.5,968235402,159175,41317887,72,180977641,1207787,131,341500,5826772,20333193,114,59912,55,69,468422,4,215378255,114053,,9293567,0,
834,Kiss Me,Songs of Sonder,Dermot Kennedy,2022-02-09,USUG12201963,1973,32.4,149237160,22036,6228907,65,60539963,307422,40847,3087705,52556917,1935086543,39,262744,,22,662373,20,87697,147,,2868389,0,
835,Panda,Panda,Desiigner,2016-02-26,USUM71601094,219,104.2,1181348550,170002,34000497,62,2277330940,22334292,3823774,33020704,283835852,190757316,245,22143,113,63,559832,14,375337428,1442436,212661473,10372624,1,
836,NOSTYLIST,NO STYLIST,Destroy Lonely,2022-12-08,USLD91740130,2818,26.4,100973437,55772,4769511,63,14289584,264058,153000,72100628,552255188,,8,511,34,,,1,466721,911,10092692,443594,1,
839,"Rowdy Baby (From ""Maari 2"")",U1 For Life,Dhanush,2020-08-26,IND291823075,1057,46.8,58283353,12,2710,,1558088734,6652026,,,,169255135,,,,,,5,344,98,,139710,0,
840,Enjoy Enjaami,Enjoy Enjaami,Dhee,2021-05-03,TCAFK2171359,4054,21.2,44231951,7286,1484104,50,549781386,5379716,35,1308,29422,9424,17,301,,,,5,,,,137205,0,
841,double take,double take,Dhruv,2019-05-24,GBMJG1911043,1737,35,826685494,106975,21112809,76,353174602,2826209,2516713,555171983,4653743727,166290699,39,13341,9,7,49460,4,433712,1592,10994470,1873276,0,
842,Leja Re,Leja Re,Dhvani Bhanushali,2018-11-24,INS181802759,3504,23,64612903,7444,1576312,55,1035234284,6201188,,1418,8550,95977596,7,225,,,,2,,,,136790,0,
843,Vaaste,Vaaste,Dhvani Bhanushali,2019-06-04,INS181900798,1540,37.4,126921341,13291,2873906,60,1598106066,13195302,,4508761,48358536,262249176,5,572,,,,4,,,,499417,0,
845,What Else Can I Do?,Encanto (Original Motion Picture Soundtrack),Diane Guerrero,2021-11-19,USWD12112916,4186,20.7,186607065,18815,9312393,62,278576205,1476391,,44231105,371511075,65338805,14,220,,,,2,36298502,27656,,142768,0,
849,Uhaw,Uhaw,Dilaw,2022-11-18,PHW012200294,3958,21.5,42862565,5084,1645697,54,9151739,70548,1712700,62906993,670266290,,3,8,,,,,,,,8995,0,
850,Wish,Wish,Diler Kharkiya,2020-11-20,INS922000422,3598,22.6,10848948,1036,186826,45,681881643,3559389,471,58718,1327611,,,,,,,,,,,42722,0,
857,Heartless (feat. Morgan Wallen),Heartless (feat. Morgan Wallen),Diplo,2019-08-16,USSM11905215,2977,25.5,548333714,58410,13060330,77,191331224,1256178,91540,32004747,256819834,2267674,35,19,26,6,138828,28,252841658,89920,12131149,952624,1,
858,On My Mind,On My Mind,Diplo,2019-12-13,USZ4V1900134,3526,22.9,287897439,146593,20526230,60,68649223,853541,175051,126561681,855075576,11842376,74,27171,113,42,165991,21,7837045,6109,,1261710,0,
860,Vacation,Vacation,Dirty Heads,2017-11-08,USDPK1700118,3147,24.6,253490559,78414,9539906,20,157050046,2249067,4715901,389010308,4610799658,3057202,16,8106,59,9,3638,3,70579414,71144,,2770196,1,
861,Latch,Settle,Disclosure,2013-01-01,GBUM71302810,1933,32.9,1017438306,174201,45341736,71,569083040,3417150,202721,80786067,568058521,162617345,219,25714,239,105,1023099,72,346547845,609122,43896113,15182802,0,
863,Love Story,Love Story,Disco Lines,2020-09-22,USUG12003755,4224,20.5,18566967,7400,851076,40,1349513,12007,4189200,555006842,4579547361,144,3,1230,,1,1331,,695957,653,,86559,0,
864,The Sound Of Silence,The Sound of Silence (CYRIL Remix),Disturbed,2015-01-01,USRE11500180,2022,32.1,777947820,135133,20085121,70,1442138188,9765818,102483,24598507,297856843,718331276,18,53600,38,27,1748168,44,,,,,0,
866,Dj Gamm Gamm Piri Slow,Dj Gamm Gamm Piri Slow,DJ BAHBUS,2022-09-28,SGB502262965,1265,42.1,32014,7,10,,68945,653,4500000,27946393,533737667,,,,,,,,,,,3942,0,
867,All Eyes on Me,All Eyes on Me - Single,Dj Belite,2022-12-20,TCAGR2239010,2401,29.1,155367,512,52259,,21746915,272517,1502840,91479861,2017012601,,20,,,,,,,,,8238004,1,
870,I'm the One,EPIC AF,DJ Khaled,2017-01-01,USSM11703300,2704,27.1,1257029279,122763,29582588,67,77475141,982093,475433,16501624,134170742,1488303,143,42076,28,72,445792,44,409246415,356341,6332764,,1,
871,Wild Thoughts,Wild Thoughts,DJ Khaled,2017-06-16,USSM11705088,2043,31.9,1164638213,145513,45841172,74,27823167,239547,136609,17079390,86703560,,281,158938,69,91,735406,39,408110670,260091,,11992440,1,
872,GREECE (feat. Drake),GREECE (feat. Drake),DJ Khaled,2020-07-16,USSM12004502,1676,35.7,544564903,155782,23951058,63,96900581,863485,101159,44502165,482158138,13886316,81,5446,6,43,37315,17,76789833,24045,16724190,2427675,1,
873,POPSTAR (feat. Drake),POPSTAR (feat. Drake),DJ Khaled,2020-07-17,USSM12004501,1247,42.4,712664065,165234,35485186,63,384597914,4775085,257346,28205851,247613041,279342315,183,93,259,50,80760,42,76691890,33455,,3773076,1,
874,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),KHALED KHALED,DJ Khaled,2021-04-30,USSM12102263,1271,42,352955079,108705,24218793,68,285741830,1939019,39265,21216408,177512619,42187695,73,84880,114,8,85919,30,158532295,29915,,2091659,1,
875,STAYING ALIVE (feat. Drake & Lil Baby),STAYING ALIVE (feat. Drake & Lil Baby) - Single,DJ Khaled,2022-05-08,USSM12206682,1586,36.8,204471704,72788,16063916,55,53474695,805089,55353,13223561,154240769,2202657571,41,121514,2223,20,239390,34,39439965,4541,,813790,1,
877,Verte Ir,Verte Ir,DJ Luian,2019-03-28,QZ7B81700011,2622,27.5,550967367,65928,18945081,64,728468384,3473098,11200,1930550,20847094,137102567,35,3884,17,7,293349,12,73700065,8531,,1353531,0,
881,Turn Down for What,Turn Down for What,DJ Snake,2013-12-18,USSM11308174,1116,45,547207250,103666,30719577,65,1350062601,11897425,962796,124466320,1943093911,194386199,135,23064,113,53,264794,55,411609954,1482573,1150036,14799660,0,
882,You Know You Like It,You Know You Like It,DJ Snake,2014-10-14,USUM71414293,3465,23.2,506083686,88997,19591325,65,191257884,1917299,22248,8081963,53859932,17749865,105,20173,45,38,196761,16,359711385,126499,51994371,14034296,0,
883,Middle,Middle,DJ Snake,2015-10-16,USUM71515784,3974,21.4,1068023888,136601,31036842,70,43143589,435488,993544,34574490,288028736,,193,33170,21,71,231159,9,209483734,129629,,12615013,0,
884,Let Me Love You,Encore,DJ Snake,2016-05-08,QMZSY1600015,403,76.2,2147028486,205482,89333146,80,2457588032,18290642,4116973,49564235,528988791,1945612445,239,192774,208,163,1417821,97,418986672,113233,,15320597,0,
885,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",Taki Taki,DJ Snake,2018-09-28,USUG11802029,446,73,1570233605,37830,10568342,65,2737562687,21758603,,2454022,40964161,706226678,215,30855,,82,1470481,3,219869090,228956,,8754118,1,
886,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2018-09-28,USUG11801723,2766,26.7,1569891590,133300,51381606,66,384590913,3935031,592538,46194014,530240861,103487881,,325,124,35,44351,70,,,,,1,
887,Loco Contigo (feat. J. Balvin & Tyga),"Loco Contigo (with J. Balvin, feat. Tyga)",DJ Snake,2019-06-13,USUG11901580,1144,44.4,822696809,141261,26970098,68,587804570,5432716,806169,35719393,404031807,532691572,184,98937,124,117,1507919,27,131125635,26028,10568592,6782620,0,
888,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)","SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,2021-10-22,USUG12103119,3909,21.6,289013053,32179,23070902,63,256030564,6371436,106500,50061756,358391850,529655205,29,279,155,21,214565,8,800597,1062,,1479802,1,
889,Love Nwantiti - Remix,Love Nwantiti (Remix),Dj Yo!,2019-08-30,QZHN32199953,1613,36.5,596326288,132469,16068014,66,486500564,5645146,207,55744,928083,2139300995,59,46202,,17,55389,20,3275263,9051,,15793119,0,
890,End of Beginning,DECIDE,Djo,2022-09-16,GBKPL2205058,918,50.5,710784872,64517,191969474,90,44322144,594352,129300,118218973,1027806256,58700775,149,94468,501,133,18315130,107,4025966,5291,,3343993,0,
891,Cake By The Ocean,Pop Music Best Hit 2012-16's VOL18,DNCE,2012-01-01,USUM71514637,2863,26.1,1623436416,181003,87263572,76,205204907,2069073,563713,55758553,345185931,312,228,170627,323,110,2298858,58,382959323,437161,,15885088,1,
895,Candy,Candy,Doja Cat,2018-03-23,USRC11801164,3323,23.8,404872050,55578,17796199,72,89852977,1063400,3688018,295279928,3235980364,4134052,18,970,,12,139821,5,18176427,44010,17046120,2475830,1,
896,Say So,Hot Pink,Doja Cat,2019-07-11,USRC11903454,306,87,1199270601,161574,48493190,69,879051516,10069968,8992493,687678447,5494376938,745421859,295,1309,531,180,1309139,72,110184400,176348,,10741166,1,
897,Streets,Hot Pink,Doja Cat,2019-07-11,USRC11903460,686,58.3,1056939084,154003,62848076,75,702463556,8269225,1629600,573666785,3347862526,458124201,155,3474,57,39,318451,17,14397719,52318,34660570,6716450,1,
898,Like That (feat. Gucci Mane),Hot Pink,Doja Cat,2019-07-11,USRC11902288,1405,39.5,510302007,74416,19414789,66,459871445,4568451,2547877,236793401,1918118365,36132882,69,225,89,22,84411,11,62486526,58814,16479480,3413408,1,
899,Boss Bitch,Boss Bitch,Doja Cat,2020-01-23,USAT21907355,1352,40.3,878349171,126275,47587177,70,522643821,6171768,1243962,497520292,3582425112,34643382,107,12503,,90,708790,21,21139093,36644,,3613901,0,
900,You Right,You Right,Doja Cat,2021-06-24,USRC12100544,713,57.4,831648193,119953,44866271,72,379404120,3991416,67857,51756150,397005694,812074154,131,233009,665,33,564789,41,130728919,27906,,4190926,1,
901,Woman,Planet Her,Doja Cat,2021-06-25,USRC12101532,211,105.2,1606950381,217443,95985096,78,641326002,7454749,2148350,795146493,5944657895,3148985028,217,414829,1849,84,3363038,42,64368314,44396,,5907933,1,
902,Get Into It (Yuh),Planet Her,Doja Cat,2021-06-25,USRC12101535,895,51,603196133,97704,24305145,68,265715680,3742969,1300477,823930204,7709942104,125603487,55,228888,4500,17,198575,8,53920294,27170,,2436551,1,
903,Ain't Shit,Planet Her,Doja Cat,2021-06-25,USRC12101540,2454,28.8,599547543,90475,27073255,70,154979267,2179826,139585,104260172,557527051,45865195,112,157,,17,159069,5,16469827,27559,,1075422,1,
904,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,2021-08-04,USRC12100760,2083,31.6,1823871908,8460,1666482,46,462218257,4949298,,,,2309356254,90,111842,,2,6198,2,,,,,0,
905,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,2021-09-04,USRC12100543,222,103.4,1823871908,262313,116916147,76,307855103,2540592,2074944,1053759171,8035914098,2053577,470,551084,650,129,1850223,98,100039259,54999,,9556378,1,
906,Need To Know,Need To Know,Doja Cat,2021-11-06,USRC12101120,344,82.5,1178076856,164743,42269625,71,507790705,6169368,734932,365523934,2422643413,2099921417,195,439065,1451,38,870717,28,90615307,51300,,5746726,1,
